Controller,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
stanley+pid,pid,GDP-S1,0.5,constant,109.5652,197.0042,36.7361,0.0626,0.0843,0.3504,0.3391,400,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S2,2,constant,234.5502,408.949,56.1733,0.0397,0.8234,0.409,0.0922,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S3,3,profile,172.4537,273.3698,53.7789,0.0595,0.8294,0.6377,0.0895,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S3,4,profile,165.2401,275.2033,56.3895,0.0813,0.8294,0.7807,0.134,150,false,max_travel_time,FAIL,PASS,FAIL
stanley+pid,pid,GDP-S3,5,profile,163.4992,271.913,55.9811,0.0844,0.8294,0.8523,0.1481,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3,7,profile,215.5963,371.125,53.7189,0.0845,0.8294,0.9342,0.1924,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+pid,pid,GDP-S3-EXT,10,constant,669.2844,1204.1,54.3319,0.1052,0.9932,1.0756,0.4798,150,false,max_travel_time,FAIL,FAIL,FAIL
stanley+lqr,lqr,GDP-S1,0.5,constant,109.4927,196.8664,36.7475,0.0609,0.0775,0.1628,0.1587,400,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S2,2,constant,232.1504,405.601,55.8292,0.0322,0.5477,0.2433,0.0877,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3,3,profile,166.4736,266.4055,53.4109,0.0482,0.6212,0.3438,0.0645,250,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3,4,profile,158.7825,267.0484,55.8364,0.0577,0.58,0.3864,0.1107,150,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3,5,profile,155.9119,263.665,55.4377,0.061,0.6338,0.396,0.1162,150,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3,7,profile,207.9502,362.7862,53.0877,0.0515,0.5477,0.3986,0.1541,150,false,max_travel_time,FAIL,PASS,FAIL
stanley+lqr,lqr,GDP-S3-EXT,10,constant,668.2572,1206.1373,55.2707,0.0528,0.6841,0.4744,0.4627,150,false,max_travel_time,FAIL,PASS,FAIL
pp+pid,pid,GDP-S1,0.5,constant,8.631,26.6655,50.6271,0.0523,0.0772,0.3469,0.2658,400,false,max_travel_time,FAIL,PASS,FAIL
pp+pid,pid,GDP-S2,2,constant,0.6024,2.0223,3.0207,0.0471,0.8301,0.4097,0.0944,175,true,goal_reached,FAIL,PASS,FAIL
pp+pid,pid,GDP-S3,3,profile,0.3573,1.292,6.7464,0.0649,0.8301,0.6407,0.0963,250,false,max_travel_time,FAIL,PASS,FAIL
pp+pid,pid,GDP-S3,4,profile,0.675,2.0385,3.3971,0.0903,0.8301,0.7861,0.1548,140.1,true,goal_reached,FAIL,PASS,FAIL
pp+pid,pid,GDP-S3,5,profile,0.6883,2.0259,3.4345,0.098,0.8301,0.8591,0.1824,134.4,true,goal_reached,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S3,7,profile,0.8519,2.4875,4.1233,0.1197,0.8301,0.9424,0.2627,93.65,true,goal_reached,FAIL,FAIL,FAIL
pp+pid,pid,GDP-S3-EXT,10,constant,1.0612,4.078,6.7881,0.2253,1.0006,1.0906,0.4759,36.35,true,goal_reached,FAIL,FAIL,FAIL
pp+lqr,lqr,GDP-S1,0.5,constant,8.6129,26.6276,50.6266,0.051,0.0736,0.1607,0.126,400,false,max_travel_time,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S2,2,constant,0.6022,2.0088,3.0137,0.0371,0.5469,0.2426,0.0846,175,true,goal_reached,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3,3,profile,0.4965,1.2947,8.8006,0.0635,0.6216,0.6498,0.0794,250,false,max_travel_time,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3,4,profile,0.675,2.0385,3.3773,0.0539,0.5839,0.3869,0.1203,140.1,true,goal_reached,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3,5,profile,0.6901,2.0383,3.4699,0.0574,0.6338,0.3969,0.1336,134.25,true,goal_reached,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3,7,profile,0.8522,2.4925,4.1372,0.0644,0.5469,0.4,0.1896,93.55,true,goal_reached,FAIL,PASS,FAIL
pp+lqr,lqr,GDP-S3-EXT,10,constant,1.0836,4.0983,6.8706,0.1075,0.6989,0.4728,0.4139,36.35,true,goal_reached,FAIL,PASS,FAIL
mpc+pid,pid,GDP-S1,0.5,constant,0.1707,0.3041,25.564,0.0192,0.0823,0.2042,0.1057,400,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S2,2,constant,0.0599,0.2028,2.0031,0.047,0.8344,0.413,0.0987,178,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,3,profile,0.0486,0.1079,8.6219,0.0648,0.8384,0.6424,0.1019,250,false,max_travel_time,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,4,profile,0.067,0.2037,2.2242,0.0893,0.8384,0.7866,0.1558,143.1,true,goal_reached,PASS,PASS,PASS
mpc+pid,pid,GDP-S3,5,profile,0.0686,0.2045,2.2726,0.0967,0.8384,0.859,0.1828,137.35,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3,7,profile,0.0908,0.2802,2.6953,0.118,0.8384,0.9416,0.2603,96.15,true,goal_reached,PASS,FAIL,FAIL
mpc+pid,pid,GDP-S3-EXT,10,constant,13.3851,22.507,54.6193,0.2788,0.9988,1.0866,0.4413,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc+lqr,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S2,2,constant,0.0601,0.2036,2.0038,0.0375,0.5481,0.244,0.0891,178,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,3,profile,0.0484,0.1042,8.6016,0.0575,0.6254,0.3453,0.0724,250,false,max_travel_time,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,4,profile,0.0669,0.2033,2.2227,0.0541,0.5816,0.3882,0.1223,143.1,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,5,profile,0.0684,0.2057,2.2675,0.0573,0.6353,0.3979,0.1351,137.3,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3,7,profile,0.0908,0.2786,2.6877,0.0641,0.5481,0.406,0.1888,96.05,true,goal_reached,PASS,PASS,PASS
mpc+lqr,lqr,GDP-S3-EXT,10,constant,13.389,24.7446,55.5347,0.1156,0.6847,0.4685,0.1403,150,false,max_travel_time,FAIL,PASS,FAIL
mpc_combined,none,GDP-S1,0.5,constant,0.0799,0.2983,23.9799,0.072,0.0873,0.2795,0.269,400,false,max_travel_time,PASS,PASS,PASS
mpc_combined,none,GDP-S2,2,constant,0.073,0.2876,1.9919,0.0261,0.4087,0.178,0.0935,177.95,true,goal_reached,PASS,PASS,PASS
mpc_combined,none,GDP-S3,3,profile,0.0861,0.1836,8.5148,0.0673,0.4087,0.8404,0.1489,250,false,max_travel_time,PASS,FAIL,FAIL
mpc_combined,none,GDP-S3,4,profile,0.0807,0.2869,2.216,0.066,0.4087,0.67,0.1567,143.15,true,goal_reached,PASS,PASS,PASS
